2013-01-05,Maisie Allan,93
2014-09-04,Irish Nevarez,85
2015-05-07,Vashti Wesley,71
2013-02-23,Paul Cox,95
2014-11-03,Felisha Sturgill,74
2013-02-03,Andrea Gonzales,60
2014-01-10,Latonia Stacy,60
2014-01-09,Willie Thompson,61
2013-09-15,Evelyn Taylor,98
2015-04-07,Stephanie Torres,83
2013-04-05,Marc Sanders,65
2014-03-10,Chet Pinto,89
2014-08-01,Branda Emanuel,81
2011-12-24,Pam Hunter,81
2013-12-21,Irene Harris,93
2012-08-09,James Douglas,63
2014-09-07,Sandra Norton,73
2013-12-07,Janet Moore,74
2014-09-18,Maryjo Shackelford,82
2015-03-22,Vinita Snowden,57
2012-08-10,Shirley Collins,71
2014-12-31,Jillian Babin,80
2012-07-04,Angelita Brinkman,56
2013-04-21,Ayana Mattox,64
2011-12-31,Francis Reyes,58
2014-02-09,Jeanetta Cabral,74
2012-12-23,Joslyn Armstead,77
2015-03-03,Willie Thompson,81
2013-10-06,Buffy Mcmillian,88
2012-07-30,Toni Schmidt,79
2012-04-05,Nicholas Hernandez,73
2014-11-16,Trena Sears,70
2011-12-24,Ignacia Rounds,83
2015-02-02,Roselia Crook,70
2013-05-30,Jacqueline Taylor,76
2014-09-08,Jackqueline Trask,65
2013-09-26,Ozell Coats,85
2015-01-24,Louise Coleman,70
2012-07-22,Maryanna Spangler,79
2012-01-01,Colette Bohannon,99
2013-12-03,Maritza Warden,61
2012-01-21,Maritza Warden,79
2013-10-20,Nicolasa Kaminski,66
2012-08-16,Letisha Dejesus,75
2015-04-06,Edward Allison,73
2012-07-21,Kerry Hicks,76
2012-02-28,Diana Lawson,77
2013-04-23,Onita Street,83
2014-09-11,Aiko Burris,91
2015-01-13,Brent Harmon,83
2012-09-05,Peter Lopez,78
2012-01-07,Victor Reynolds,44
2014-11-27,Shiloh Comer,82
2013-02-07,Karlyn Bair,57
2012-03-09,Kenneth Simmons,88
2014-01-20,Judy Price,56
2014-06-03,Kenneth Simmons,81
2015-01-03,Helena Gilliland,67
2015-03-21,Nancy Hines,80
2014-09-24,Linda Cooper,84
2013-02-04,Siu Carnes,70
2013-05-07,Mamie Robertson,40
2014-11-11,Nanci Davison,90
2012-04-15,Tomoko Shipp,77
2012-04-03,Brent Harmon,97
2013-03-31,Felisha Sturgill,57
2013-06-11,Norma Garcia,52
2012-12-18,Carol Hall,71
2013-08-17,Fleta Hewitt,69
2014-09-06,Roselia Crook,53
2015-03-13,Marc Sanders,48
2013-03-31,Leslie Foster,55
2013-07-22,Shante Webber,61
2012-02-24,Sheena Rico,57
2014-04-10,Barry Phillips,73
2012-01-24,Suzette Furr,57
2015-03-30,Eulah Stoddard,65
2013-03-25,Marshall Henderson,71
2015-03-08,Errol Turley,63
2012-07-25,Tamra Beaver,72
2014-01-01,Rob Getz,84
2014-03-03,Joy Schwartz,67
2015-04-07,Elfriede Magana,67
